function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K11781,5568,10857,13954,8960,8594,14256,8942,4734,8086,4151,4193,6336,17683,11765,14542,10299,20111,7960
K11785,291,556,339,92,41,61,202,85,109,90,77,29,327,107,169,163,428,37
K11996,3094,5971,1893,1509,428,396,378,193,1165,183,255,581,1191,1259,2399,684,2827,418
K12234,819,1579,3037,2811,2743,4136,1226,823,1732,489,537,786,2549,2013,2324,1508,2472,1495
K12339,261,507,297,85,36,54,167,71,90,77,72,25,277,92,136,141,355,33
K12410,5574,10870,13961,8960,8597,14260,8945,4736,8099,4151,4194,6337,17684,11768,14545,10302,20118,7961
K12567,0,3,11,7,14,21,4,4,4,3,2,7,15,9,8,10,9,11
K12574,5313,10363,13664,8875,8561,14206,8778,4665,8009,4074,4122,6312,17407,11676,14409,10161,19763,7928
K12589,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K12960,2820,5433,1584,1423,387,331,200,118,1050,106,181,553,910,1160,2254,536,2449,381
K13010,395,770,2701,2716,2466,3840,1046,748,1593,411,462,754,2266,1910,2175,1360,2078,1425
K13038,8237,16015,15514,10381,8910,14533,9135,4852,9124,4257,4373,6884,18589,12921,16789,10834,22538,8330
K13051,150,270,26,1,72,51,2,0,13,0,1,4,2,3,4,0,13,9
K13170,7,18,5,1,2,7,8,2,12,0,1,2,3,4,6,4,16,3
K13280,8267,16064,15556,10388,8915,14540,9170,4866,9143,4270,4378,6888,18639,12936,16822,10856,22611,8334
K13525,26021,50684,52936,33091,29877,49709,33755,17550,31039,15856,16068,24883,67516,45382,58067,39292,80472,29658
K13589,46,65,85,19,20,21,58,28,18,29,10,11,109,31,62,46,123,13
K13628,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K13722,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K13787,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K13798,7699,14993,12792,7665,6374,10649,8095,4106,7530,3846,3911,6128,16324,11012,14616,9478,20463,6899
K13831,2670,5162,1557,1414,151,100,198,118,1026,105,180,549,908,1156,2250,536,2433,348
K13953,10046,19634,22454,12486,12112,20730,15788,7972,12960,7480,7460,11156,30830,19704,24726,17878,36040,13052
K13993,18968,36978,45539,30872,28544,46894,27757,14946,26710,12836,13083,20267,55738,38200,47808,32547,64171,25636
K14165,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K14166,9778,19109,22152,12400,12074,20669,15613,7899,12858,7403,7387,11129,30550,19608,24584,17733,35669,13016
K14170,0,1,1,8,164,180,0,0,11,1,0,0,0,1,0,0,3,24
K14415,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K14445,395,770,2701,2716,2466,3840,1046,748,1593,411,462,754,2266,1910,2175,1360,2078,1425
K14534,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K14561,6,14,8,8,167,184,3,2,24,1,1,1,1,4,3,3,10,25
K14564,8237,16015,15514,10381,8910,14533,9135,4852,9124,4257,4373,6884,18589,12921,16789,10834,22538,8330
K14568,5022,9813,11230,6250,6221,10542,7889,3986,6492,3741,3730,5577,15413,9852,12360,8938,18014,6548
K14574,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K14647,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K14654,8244,16032,15518,10374,8748,14360,9143,4854,9125,4256,4374,6886,18592,12924,16795,10838,22551,8309
K14656,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K14728,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K14941,5568,10857,13954,8960,8594,14256,8942,4734,8086,4151,4193,6336,17683,11765,14542,10299,20111,7960
K14952,5000,9783,11179,6230,6039,10344,7863,3970,6469,3724,3724,5569,15353,9832,12328,8911,17954,6514
K15016,5023,9818,11227,6251,6203,10515,7894,3986,6490,3741,3730,5578,15415,9853,12363,8939,18023,6547
K15019,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K15342,597,1116,2809,2737,2711,4075,1105,774,1644,438,472,763,2363,1939,2236,1399,2215,1461
K15383,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K15429,8267,16064,15556,10388,8915,14540,9170,4866,9143,4270,4378,6888,18639,12936,16822,10856,22611,8334
