function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K01453,977.5,934,275,82.5,13,7.5,404.5,443,364,455,323,24.5,326.5,217,299.5,206.5,181,8,430,281,713.5,432.5,527,40.5
K01455,35.4,20,33,13.4,1,1,20,14,21,21,17,0,150,17.8,251.4,45,4.4,4.8,32,22.75,38.5,34.75,31.75,5
K01457,4104.9,3556.83,1038.33,135.4,15,18.5,982.5,1397.33,1575.83,1640.83,810.83,43,1391,985.13,1456.4,881,464.9,17.13,2200.33,777.42,2204.17,1789.08,1451.75,87.83
K01458,1569.5,1444,347.5,124.5,39,16,675.5,859,1086,1077.5,499.5,38.5,849,676,885,619.5,352.5,13.5,1225,421.5,1078,845,763.5,29
K01459,118,150,62,1,0,0,35,33,15,26,26,1,25,20,24,10,18,1,7,8,25,15,22,1
K01460,68.5,72.83,18.83,9.5,2,0.5,22,22.33,24.83,35.83,20.33,3,10.5,11.83,10,15.5,9.5,1.33,30.83,34.17,49.67,146.33,28.5,6.83
K01461,42,49,13,2,0,0,42,35,13,28,11,4,16,8,9,7,12,0,21,9,34,17,16,1
K01462,22395.9,19825.66,17301.16,21261.98,19197.75,11391.83,16399.83,15461.91,18109,17595,27893.5,18000.58,10440,7945.88,10798.57,11108.08,21696.98,3717.63,16025.66,14730.92,28130.17,18313.08,13196.42,16085.08
K01464,3356.5,3098.5,2530,2268,2004,1043.5,3020.5,2703,2979,3227.5,2731.5,353.5,1957,1530.5,1913,1557.5,1423.5,321.5,3316.5,1595,4297.5,2929,2132.5,465
K01465,26724.9,23658.49,19994.99,17351.81,12687.25,7740.16,19741.66,18213.24,22650.17,19226.17,21659.67,9964.91,13013,9615.38,12946.24,10498.91,13572.81,3430.13,18792.49,14132.17,31221.17,22687.33,16793.84,9174.58
K01466,5,3,8,1,0,0,10,6,9,9,21,1,37,13,110,77,28,7,2,0,1,6,0,0
K01467,338.2,272.83,252.33,505.7,378,229.5,282,335.83,232.33,379.33,269.83,52,142.5,82.73,159.2,163,168.2,69.73,190.83,253.17,461.17,366.33,215,81.83
K01468,2466,2076.83,2405.83,4198.33,4805.5,3077.83,2324.33,2401.33,1936.67,2908.67,2635.17,902.83,1075,814.5,1113.17,1430.83,2030.33,1080.5,2017.83,1669.5,3891.5,2582,1850.17,1229.5
K01469,2521.5,2438.5,2499.5,3133,1745.5,818.5,3078.5,2632,2585,3024,3236.5,389.5,1486,1175.5,1507.5,1514,1794,167.5,2308,1688.25,4612.5,2745.25,1818.25,508.5
K01470,1057.6,952,1331,2050.6,1181,501,1299,1117,929,1248,1469,214,785,493.2,893.6,706,853.6,127.2,1110,872.75,1985.5,1220.75,933.75,326
K01471,0,0,0,0,0,0,0,0,0,0,0,0,17,2,65,12,0,1,0,0,0,0,0,0
K01473,5770,5119.5,2542.5,2937.5,2107,1157.5,2287,2467,2547,2984,2573,389,2019,1575.5,2025,1737,1592,277,3468.5,1803.5,4655.5,2949,2317,582
K01474,6497,5815.5,3402.5,3154.5,2117,1157.5,3798,3559,3676,4172,3487,423,2572,1994.5,2553,2116,1851,283,4440.5,2150.5,6045.5,3955,2965,625
K01476,1920.7,1694.5,757,168.2,41,30.5,1008.5,1285.5,1542.5,1589,657,56.5,1232.5,903.9,1309.2,880.5,450.7,28.4,1884.5,622.5,1565,1353,1151.5,67.5
K01477,1206.5,1153.5,1130,676.75,407.25,213.5,1688,1261.25,1307,1446.5,1391,1298.75,651,502.75,614.5,526.75,761.75,1093.5,1157,554.75,1871.5,1240.25,861.25,448.75
K01478,102,86,105.5,87,124,88,51.5,87,63.5,76,46,21,51,50,65,41.5,50.5,53,70,54,107.5,98.5,68,52
K01479,1782,1509.83,737.83,790,561.5,344.5,1014,1163.33,897.33,1266.33,641.83,131.5,476,368.83,523.5,497.5,440,279.83,870.83,560.17,1552.17,1230.33,987.5,172.83
K01480,25247,22238.49,14884.99,5003.58,2327.75,1600.33,14376.83,13327.24,18534.33,13259.83,13102.33,2321.58,10826,7961.41,10587.17,7084.58,5301.58,1602.16,15071.99,9417.84,22167.84,17698.16,13624.67,1795.91
K01482,1469.5,1326,1220.5,390.5,170,104,2186.5,1734,1862,2097.5,1537.5,57.5,1148,890,1126,814.5,478.5,37.5,2129,770.5,2614,1845,1213.5,97
K01483,6545.7,5847,3174.5,2557.45,1366.25,603,3245,3270.25,3573,3919.5,3446,1543.75,2478,1891.65,2494.7,1963.75,2007.95,1164.9,3926.5,1974.25,5448,3548.25,2810.25,755.75
K01484,69,74.33,217.33,447,325,191,95,86.33,65.83,129.33,135.33,27.5,60,66.83,69,114.5,142,189.83,119.83,125.67,273.17,241.33,54.5,33.83
K01485,4356.7,3846.5,1821,2193.2,1351.5,608,1429.5,1681,1634,1926.5,1981,327.5,1385.5,1019.9,1523.2,1344,1507.7,160.4,2027,1299.75,3176,2021.75,1533.75,411
K01486,5267.2,4589.83,1307.33,536.53,3182,2225.83,1324.33,1864.33,2071.67,2141.67,1184.67,552.83,1667.5,1258.4,1683.87,1227.83,995.03,784.4,2542.83,1043,2864.5,2066.5,1835.67,867
K01487,2739.2,2499.33,2223.83,3053.2,2106,1033,2656.5,2480.33,2778.83,3017.33,3148.33,2580.5,1777.5,1361.23,1773.2,1638,2700.7,234.73,2958.83,1822.92,3874.67,2630.58,1855.75,2706.33
K01488,3878.5,3656.33,3873.33,3805.25,2519.75,1224,5062,4484.58,4551.33,5164.33,4692.33,1878.25,2703.5,2110.08,2682,2441.75,2930.25,1538.83,4535.83,2449.92,6746.17,4585.08,3048.25,1208.58
K01489,8015.7,7016.66,3820.16,2673.53,2650.5,1850.33,4628.83,4880.66,4728,5643.5,3574,708.33,3040,2303.73,3079.37,2476.33,2060.03,585.73,4999.66,2337.17,6792.67,4958.33,3884.67,996.83
K01491,16868,14943.66,14670.66,17915.08,16956.25,10035.83,13956.83,12515.91,14978,14041,24105,14731.08,8035.5,6143.08,8351.67,8880.58,18210.08,3429.83,12226.16,12292.42,22817.67,15023.08,10591.42,13139.08
K01493,2079,1707.33,3554.83,8948.58,11644.75,7088.33,2528.33,2758.58,2596.67,3589.67,11988.67,10440.58,1001,859.75,1335.67,3139.08,11237.08,2496,1813.33,4793,5306.5,2700,1719.67,8922.75
K01494,13653.7,12171.83,9302.33,6430.7,3772.5,2277,9499.5,8270.33,10934.33,8635.83,10110.83,3877,6385,4741.23,6421.2,4977.5,5816.2,756.23,9158.33,6548.92,15142.67,10871.58,7987.75,3655.83
K01495,13712.2,11914.49,9121.49,7876.61,5926.75,3682.66,9074.66,8466.24,10142.67,8629.67,9852.17,5053.41,5560,4061.98,5570.54,4644.91,6386.61,2428.73,7709.99,6493.42,14322.67,10522.08,8036.09,4616.08
K01496,10047.7,8936.5,8668.5,6359.7,5277.5,3315,9266,7889,10437,8184.5,9257.5,4132.5,5994,4407.4,5979.2,4651.5,5552.7,987.4,8806.5,6149.25,13696,10312.75,7341.25,4073
K01497,2425,2244.33,1187.33,1015,663.5,358.5,1431.5,1592.83,1795.83,2035.83,1670.33,2585,1346,1099.83,1330.5,1122.5,1463,2166.33,2288.33,1016.42,2545.17,1880.58,1391.25,871.83
K01499,83.2,75,223,486.2,101,39,370,446,358,476,471,153,246,152.4,270.2,391,831.2,12.4,135,294,679,465,147,143
K01501,667,598.16,791.66,2681.83,2195,1321.83,635.33,737.16,569.5,834.5,1950,3250.33,307.5,199.83,378.67,759.83,2724.83,281.83,379.16,1055.92,1524.17,824.58,492.92,2872.83
K01502,18.2,13,18,70.2,17,5,15,10,11,15,12,1,62,4.4,73.2,34,26.2,3.4,18,25,53,21,15,2
K01505,1201.5,925.16,489.66,691.33,401,230.83,918.33,1150.66,892,1241,632.5,160.33,435.5,284.33,456.67,591.33,817.33,87.33,545.16,529.42,1288.17,1092.58,813.92,229.33
K01507,2417.7,2217.33,5062.33,13871.03,13283.5,7340.83,3098.83,3250.33,3124.67,4419.67,15003.67,12432.83,1369,1155.4,1903.87,4302.83,14461.03,1578.4,2256.33,6488.25,7934,3430.75,1931.92,11204.5
K01512,2350.7,2113.5,3195.5,6126.2,6079.5,3995.5,3071.5,2604,2353,3054,4316.5,3825.5,1479,1115.9,1554.7,1951,4263.2,1011.9,2543,2678.5,5346,3453.5,2226.5,3926.5
K01515,985.5,950.33,1912.33,5184,6780.5,4554.5,1769,1647.33,1446.83,2030.83,3027.83,4066,721,570.33,892,1487,3860.5,1294.83,1160.83,1784.42,3073.67,1929.08,1078.75,3968.83
K01519,42,39,154,137,118,77,214,154,136,211,295,10,79,67,85,64,64,15,197,143,443,245,126,34
K01520,14121.2,12356.83,9979.83,8743.53,6479,3953.83,9409.83,8784.33,11022.67,9301.17,10309.17,4336.33,6434,4752.4,6409.87,5263.33,6585.53,1244.4,9261.83,6900.75,15208.5,11143.75,8301.42,4476.5
K01523,13024.7,11687.5,9201.5,7119.7,3856.5,2118,8533,7572,10282,7908.5,9704.5,3926.5,6078,4412.4,6125.2,4754.5,5804.7,471.4,8459.5,6288.25,13912,9933.75,7291.25,3662
K01524,11083.9,9691.66,5650.66,7331.23,7212.5,4710.33,6651.83,7306.66,7057.5,8520.5,7309.5,6820.83,4821.5,3766.63,5021.07,4569.33,6596.23,3748.63,8067.16,4788.92,11368.17,8017.58,6211.42,5296.33
K01525,1586.5,1513.33,4114.33,10825,10184.5,5634.5,3183,2541.33,2846.83,3524.83,13867.83,11866,1037,893.33,1424,3570,13035.5,856.83,1781.83,5524.42,6537.67,2819.08,1441.75,10510.83
K01533,3333.5,2882.99,4650.99,11846.33,11147,6203.83,3124.33,3448.99,3455.33,4641.83,13948.83,11941.33,1850,1520.66,2308.17,4260.33,13390.33,1077.66,3543.49,6274.09,7791.84,3889.91,2449.42,10677.66
K01534,2290.2,1967.33,1104.33,786.78,853.75,446.33,1494.83,1788.08,1552.67,1960.17,1264.17,1399.58,1092.5,800.15,1209.87,925.58,1042.78,1253.9,1458.33,750.5,1873.5,1510.5,1313.67,602.25
K01535,0,0.33,0.33,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0.33,0,1,0,0.33,6.33,8.67,10.67,6.33,2,3.33
K01537,377.2,325.5,534,1014.7,1991,1605.5,555.5,549.5,452,593.5,521,915,305,196.9,380.7,459.5,1052.7,466.9,293,326.5,773.5,635,348,618
K01545,0.2,0,0,0.2,0,0,0,0,0,0,0,0,65,2.4,119.2,17,0.2,2.4,0,0,0,0,0,0
K01546,148.2,129,54,25.2,20,7,67,72,75,92,76,4,166,83.4,281.2,132,95.2,159.4,110,49,152,112,151,6
K01547,146.2,128,53,25.2,20,7,61,53,39,54,64,4,157,64.4,271.2,127,93.2,159.4,97,49,138,98,139,6
K01548,148.2,129,54,25.2,20,7,67,72,75,92,76,4,166,83.4,281.2,132,95.2,159.4,110,49,152,112,151,6
K01551,156,153,97.5,206.5,601,492.5,242,245,169,191.5,220,185,55.5,56.5,58.5,106,157,133,113.5,168.5,293.5,184,84.5,278
K01555,1920,1585.66,1021.16,612.83,422.5,278.83,1012.33,1413.66,1227,1681.5,749,100.83,723.5,559.33,683.67,601.83,554.83,97.33,1440.66,715.17,1654.17,1389.83,1137.67,219.33
K01556,3397,2897.33,1542.83,1125.83,610.5,364.83,2104.33,2493.33,2470.17,2930.17,1338.67,172.33,1580.5,1228.5,1550.67,1225.33,844.83,132.5,2668.83,1178.5,3079,2436.5,2072.17,240.5
K01560,15206.2,13608.66,9252.16,6165.7,2598,1151.5,8376,8020.16,10919.16,8541.16,8954.16,803,6935,5110.56,6883.2,4937.5,3956.2,258.56,9975.16,6400.34,14675.34,10954.66,8297.5,1046.16
K01561,1861.2,1732,515,244.2,78,26,934,1121,1341,1399,757,53,1078,819.4,1154.2,757,460.2,22.4,1534,575,1539,1121,978,44
K01563,891.5,832.33,615.33,915.5,1547,1038.5,1016.5,827.33,709.33,962.33,1011.33,265.5,410.5,316.33,370.5,499.5,635,344.33,837.33,664.67,1738.17,1004.83,744,411.83
K01571,1801.5,1673.33,4184.33,10727,11175.5,6294.5,3313,2796.33,3037.83,3767.83,14173.83,11932,1201,1026.33,1576,3642,13128.5,1093.83,2106.83,5688.42,7031.67,3196.08,1682.75,10650.83
K01572,1620,1612.16,4845.66,12386.08,13198.75,7389.33,3380.33,2868.91,3081.5,4022,15251.5,13533.08,1236,1038.08,1584.17,3846.08,14108.58,2490.33,2206.16,6126.42,7700.67,3354.58,1549.92,11533.58
K01573,1174,1150.83,3874.33,10489.75,10235.75,5655,2579,2168.58,2509.83,3161.33,13805.83,13051.75,878,767.08,1259.5,3411.75,13265.25,1915.33,1483.83,5357.42,5886.67,2430.58,1086.25,10835.58
K01574,15,12,11,1,0,1,26,23,20,18,24,2,23,21,43,12,20,0,7,1,5,9,4,1
K01575,75.5,112,27,35.5,3,1.5,32.5,60,53,67,67,9.5,46.5,21,109.5,93.5,52,9,64,64,125.5,75.5,63,18.5
K01576,0.2,0,0,0.2,0,0,0,0,0,0,0,0,65,2.4,119.2,17,0.2,2.4,0,0,0,0,0,0
K01577,0.2,0,0,0.2,0,0,0,0,0,0,0,0,48,0.4,54.2,5,0.2,1.4,0,0,0,0,0,0
K01578,1728.2,1587.5,718.5,323.7,114,56.5,1056,1248,1463,1543,764,65,1158,921.9,1259.2,833,475.2,23.4,1821.5,626.5,1686.5,1286,1037,48
K01579,2642.5,2208.83,4590.83,11873.58,12754.25,7591.83,3645.33,3679.58,3445.17,4663.67,14478.17,13532.08,1397,1231.25,1756.17,3939.58,13941.58,2664.5,2487.33,6001.25,7440.5,3777.75,2286.92,11556.25
K01580,141,144.83,192.83,345,1206,783,120.5,165.33,167.83,253.83,177.33,160.5,66,44.83,50.5,163,336.5,288.33,141.83,183.17,269.17,289.83,153.5,245.33
K01581,7976.9,7037,6230.5,2522.4,734,421.5,5675,4785,7433,4647,5390.5,359.5,4508,3215.3,4387.9,2790,1891.4,289.8,6304.5,4171.25,9151,7314.25,5466.25,479.5
K01582,19,20.33,82.33,233,308,193,79,104.33,124.83,182.33,118.33,54.5,30,23.83,18,110.5,230,63.83,112.83,135.67,205.17,250.33,137.5,107.83
K01583,12,11,4,1,0,0,3,10,11,5,8,0,8,2,13,6,5,0,7,4,21,8,8,1
K01584,71,51.33,106.33,287,320,201,148,137.33,156.83,219.33,178.33,66.5,62,45.83,96,146.5,261,67.83,128.83,144.67,290.17,290.33,150.5,120.83
K01585,2606.5,2232.32,1850.32,3620.58,3777.25,2385.83,2341.83,2689.57,2174.16,3036.16,3468.16,4742.08,1168,888.24,1161.67,1440.08,3719.08,1722.99,2031.32,1939.01,3885.01,2780.49,1899.17,3635.74
K01586,15949.9,14169.49,13579.49,17331.48,18340.25,10972.33,12165.83,11237.24,13668.83,12530.83,22966.83,14808.08,7564,5694.21,7921.07,8410.08,17825.48,3798.46,11073.49,11807.59,21045.34,13878.91,9796.92,13234.41
K01588,15828.7,14028.16,13510.16,17174.28,15684.25,9199.33,12168.83,11196.91,13642,12490.5,22912.5,14527.58,7480,5672.98,7837.87,8336.58,17592.28,3124.23,11084.66,11767.92,20971.17,13773.58,9733.42,12858.58
K01589,14167.2,12623.66,12120.16,15526.53,12211,6647.83,10481.83,9891.66,12462,11072,21097.5,12549.83,6750,5093.23,7160.37,7615.83,16198.53,1283.73,9838.66,10611.92,18286.17,11898.08,8259.92,11390.83
K01590,12,11,4,1,0,0,3,10,11,5,8,0,8,2,13,6,5,0,7,4,21,8,8,1
K01591,16071.7,14253.16,13728.16,17503.28,16652.25,9848.33,12405.83,11360.91,13792,12727.5,23164.5,14650.58,7544,5731.98,7915.87,8434.58,17766.28,3364.23,11199.66,11904.92,21365.17,13974.58,9897.42,13041.58
K01593,923,818.5,370.5,68.5,60,49.5,365,554,721,651,295,44,516,408.5,568,419,240,34,695.5,272.5,637.5,529,476,35
K01594,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K01595,7246.4,6273.16,6121.16,3067.23,1627,1236.83,6185.33,5707.16,7637.5,5467,5591.5,1210.33,4140.5,2905.63,4143.57,2944.33,2771.23,536.63,5422.16,3861.42,8692.67,7166.08,5066.42,916.83
K01596,371,341,211,355,1260,776,424,483,403,482,247,158,307,246,375,324,333,474,460,236,571,514,387,220
K01597,1422.5,1086.83,672.33,579.83,500.5,329.83,1058.83,1351.33,1025.17,1488.17,640.67,142.83,441,326,381.17,420.83,466.83,129.5,816.33,500,1260,1014,932.17,240
K01598,131,88,7,3,6,6,80,160,154,122,41,2,78,62,99,53,34,4,100,48,90,155,153,17
K01599,15791.7,14043.16,13285.16,16446.28,15730.25,9371.33,11942.83,10930.91,13353,12081.5,22481.5,14370.58,7363,5554.98,7653.87,8132.58,17219.28,3195.23,10917.66,11501.92,20617.17,13526.58,9552.42,12650.58
K01601,859,841,976,516,977,1064,1700,1272,1266,1358,1187,1328,692,472,833,588,873,253,1085,464,1761,1158,806,450
K01602,71,76,59,153,479,522,152,179,112,95,179,670,76,41,121,116,328,123,54,60,187,76,100,245
K01607,8547.5,7631,3456.5,1438.25,1943.25,1104,4249,4489.25,5081,5385.5,3446,1669.75,3715,2877.25,3798.5,2786.75,2180.75,1532.5,6224.5,2430.5,6858.5,4941.5,4078.5,890.75
K01609,14843.2,13170.83,13125.33,16739.78,15868.25,9417.33,11862.33,10897.08,13230.67,12237.17,22436.17,14338.58,7195.5,5462.15,7593.87,8111.58,17273.78,3208.4,10724.83,11201.25,20011.5,12980.25,9027.42,12628.25
K01610,7988.2,7013.99,3759.99,4265.61,4424.75,2829.16,3998.66,4492.24,4173.67,5332.17,4490.67,2289.41,2791,2145.48,2813.04,2503.91,2895.61,1878.73,4625.99,2845.42,7230.17,4739.08,3789.59,1783.08
K01611,437.5,431.33,948.83,3123,3388.5,2011.5,606.5,618.33,573.33,839.83,1969.83,3403,280,216.33,311,791.5,2858,568.83,436.83,1126.42,1559.17,841.58,401.75,3062.83
K01613,11591.2,10341.66,12434.16,17048.28,16593.25,9642.83,11085.33,9800.91,12110,10953,22148,14620.08,6185,4666.48,6546.87,7405.08,17158.78,3217.73,8955.16,11037.67,18914.17,12221.33,8316.67,12985.58
K01615,3,2,10,125,1395,1013,2,1,7,8,10,176,5,1,4,22,122,338,1,14,11,6,4,277
K01617,162,177,686,1552,875,340,357,309,266,416,924,160,164,118,167,254,537,41,262,445,840,369,157,216
K01619,4911.7,4341.66,3750.66,3426.53,2729,1809.83,4706.83,4733.16,4520,5369,3581.5,564.83,2761,2099.23,2703.37,2242.83,1947.53,508.23,4704.66,2299.17,6186.67,4744.83,3490.17,819.83
K01620,14663.9,13037.16,10336.66,5401.73,3440.5,2101.33,11150.33,10137.66,12334,10626,9753,1027.33,7120,5227.13,7022.07,5033.83,3994.73,824.63,10447.66,6151.67,15605.67,11860.83,8644.67,1434.33
K01621,165.4,162.66,168.66,341.9,182.5,87,299.5,356.66,266.66,320.16,318.16,89,289.5,128.96,432.9,358,494.9,26.46,122.66,195.34,460.84,300.16,128.5,86.16
K01622,12,10,17,13,1,0,45,24,11,13,7,0,6,4,6,6,2,0,27,10,25,29,15,2
K01623,12656,11262.5,8392.5,3893.5,1260,567.5,8079,7077,9866,7256,7734,608,5710,4181.5,5624,3857,2946,137,7954.5,5185.5,12263.5,9266,7066,781
K01624,3684.2,3266.49,2626.99,4423.78,4647.25,2998.33,2945.33,3483.24,3139.83,3959.33,3755.33,4994.58,1864,1402.81,1976.87,2144.58,4443.78,2057.56,2742.49,2343.09,4582.34,3439.91,2502.42,3887.41
K01625,7584.2,6630.48,2829.48,1842.78,1249.25,765.33,3660.33,4135.23,3833.32,4653.32,3245.82,1599.08,2707,2130.3,2698.87,2199.08,2242.78,1463.05,4411.98,2228.6,6181.35,4618.4,3552.42,838.9
K01626,15125.7,13562.83,13109.33,15945.95,14228.75,7906,11957,10633.58,13506.83,11773.83,22531.83,14094.25,7420.5,5571.98,7887.7,8123.75,17118.95,2843.23,10867.33,11397.42,20356.67,13247.58,9248.25,12133.58
K01627,15513.2,13712.16,13189.66,16254.78,15671.25,9338.33,11619.33,10625.41,13221.5,11941.5,22365.5,14349.08,7263.5,5545.98,7565.87,7968.08,17154.78,3188.23,10776.66,11416.92,20186.67,13258.58,9384.92,12623.08
K01628,540.7,438.5,623,640.95,1272.25,759.5,962,737.25,577,758.5,815,1414.75,424,314.15,383.7,396.75,710.95,1346.9,766,377,1107,830.5,603.5,736.75
K01629,23,19.33,80.33,233.33,307,193.33,66.33,93.33,111.67,170.67,107.67,51.33,30,22,19.67,109.33,230.33,63,83.33,99,150,109,80.67,101
K01630,517,538,112,31,6,1,147,163,157,166,155,2,127,91,110,105,61,2,137,105,361,187,226,19
K01631,1736,1527.83,679.83,178.5,75,42.5,875,1105.33,1404.33,1399.33,656.33,52,1101,903.83,1098,772,450,74.33,1773.83,634.17,1539.17,1251.33,1064,53.33
K01633,15482.7,13712.16,12850.16,16615.28,14176.25,8108.33,11275.83,10546.91,13143,11797.5,22428.5,14297.58,7153,5399.98,7549.87,8072.58,17270.28,2807.23,10421.66,11508.92,20108.17,12962.58,9279.42,12382.58
K01635,5,3,8,1,0,0,10,6,9,9,21,1,13,12,29,7,10,0,2,0,0,4,0,0
K01637,11301.5,10079.66,7302.66,2812.83,1080,879.83,7191.83,5993.66,8438.5,5781,6648,1188.33,4683.5,3347.83,4696.17,3188.33,2732.33,384.83,6417.16,4444.42,10722.17,8164.58,6152.92,803.33
K01638,13517.5,12181.49,8822.49,4731.33,2159,1329.33,8454.83,7489.99,10157.83,7683.33,8255.33,1381.33,6012.5,4433.66,5993.17,4265.33,3631.33,466.16,8518.99,5583.59,13282.34,9891.91,7435.92,1079.66
K01639,121,87,100,75,198,132,162,147,132,233,114,44,98,81,99,73,81,84,179,79,181,150,108,55
K01640,3950.5,3593.66,2794.16,3668.33,2990.5,1665.33,2690.83,3046.66,2968,3830.5,2860,543.33,1975,1555.33,1961.17,1856.33,1981.83,613.33,3414.66,2007.17,4700.67,3179.33,2356.67,787.83
K01641,58,39,51.5,35,4,1,152.5,92,68.5,73,32,1,39,25,42,31.5,16.5,4,100,35,129.5,117.5,70,8
K01643,17,17,81,233,307,193,66,91,113,170,106,51,28,21,17,108,229,63,94,106,164,118,97,102
K01644,2029.2,1904,2042.5,2656.95,2391.75,1397,2878.5,2292.25,2125,2680.5,2615.5,1652.25,1309,955.65,1391.2,1460.75,2055.95,1643.4,2287,1457.5,4137,2527,1775,963.25
K01647,10154.7,9077.66,7461.16,12011.78,11652.75,7212.83,7777.83,7813.91,7326,9154,10267.5,8943.58,4442,3428.48,4624.37,5096.08,9614.78,3216.23,7238.66,5828.92,12830.17,8218.08,5753.42,7986.08
K01649,28422.2,25062.66,22669.16,20209.28,19023.25,11356.83,21357.33,19274.41,26097.5,20083.5,31317.5,15208.08,14251.5,10662.48,14521.87,12546.08,20553.78,3951.23,19753.16,17617.17,33857.67,24466.33,17753.67,13886.08
K01652,35176.4,31391.99,25342.49,28115.73,22496.5,12820.33,22206.33,21205.99,26513.33,23670.33,35686.33,19962.83,16110.5,12082.46,16789.07,15203.33,25380.73,5032.96,23938.99,20067.09,39640.34,26536.91,19180.42,17380.16
K01653,15615.2,13786.16,13162.66,16409.78,15744.25,9356.33,11850.33,10882.41,13349.5,12066.5,22445.5,14338.08,7315.5,5543.98,7702.87,8111.08,17223.78,3194.23,10850.66,11531.92,20513.67,13457.58,9531.92,12600.08
K01654,6058,5645.49,6121.49,4762.08,2799.25,1679.33,6637.33,5277.24,6060.33,5840.33,6676.33,4563.58,3561.5,2646.91,3487.67,3003.08,4440.58,1445.16,6141.99,4119.34,9937.34,7079.16,4933.67,3525.41
K01657,15354.2,13602.16,13442.66,15579.78,15210.25,9209.33,13350.33,11902.41,14296.5,13338.5,22855.5,14317.08,7663.5,5845.98,7982.87,8313.08,17104.78,3193.23,11690.66,11290.92,21177.67,14032.58,9621.92,12532.08
K01658,19671.7,17368.49,14846.49,9055.28,7927.25,5484.33,14905.83,13327.24,17836.83,13449.83,14841.83,6063.08,9848,7222.81,9664.87,7270.08,8252.28,2804.06,13931.49,9567.59,21795.34,16946.91,12055.92,5420.41
K01659,7405.5,6646.33,6313.83,2001.75,242.25,113.5,6467.5,5077.58,7602.83,4783.33,5974.33,1727.25,3974,2845.58,3815,2477.75,2145.25,1086.83,5329.83,3823.92,8860.67,7105.08,5155.75,883.08
K01661,2157.5,1844.83,1613.83,2498.83,1546.5,752.83,1798.33,2157.33,1679.67,2373.17,1885.67,365.83,835,606,875.17,978.33,1237.33,232.5,1468.33,1164,2784.5,1879.5,1520.17,525
K01662,13350.4,11901.66,11042.16,10119.48,9055.75,5743.83,11806.83,10810.91,13016.5,11585.5,12540,6216.08,7379,5459.88,7427.57,6291.08,8460.98,2858.13,10539.66,7919.42,17691.67,12948.58,9404.92,5582.08
K01663,133,89,15,58,894,592,80,160,158,126,45,101,81,62,102,64,109,227,100,55,93,156,154,138
K01664,5305.2,4731.33,4879.33,1628.2,358,309,4194,3420.33,5837.83,3044.33,4188.33,278.5,3128,2162.23,3116.2,1898.5,1329.2,103.23,3804.83,2866.67,6134.17,5163.33,3564.5,304.83
K01665,7981.2,7000.66,7088.16,5490.28,4979.25,3217.83,6848.33,6214.91,8296,6415,7695,5109.08,4573,3360.48,4452.87,3462.08,5182.78,2155.73,6489.16,4851.92,10120.67,7925.58,5553.92,4186.58
K01666,75.5,56.5,199,173.75,228.25,124.5,324,241.25,219,343.5,688,1259.75,131,109.75,121.5,116.75,457.75,1066.5,296,222,646,355.5,187.5,408.75
K01667,10,3,45,59,221,142,30,59,30,49,24,46,33,21,77,31,33,95,24,29,56,54,34,57
K01669,18927.7,16699.65,9770.15,6840.61,4315.25,2626.66,9843.16,10350.4,12275.33,10543.33,10149.83,5294.91,7330,5443.14,7456.04,5841.91,6744.11,1963.39,10267.15,6947.01,16018.01,12122.99,9469.34,4370.24
K01673,11715.6,10178.49,6433.49,6726.26,6079.5,3645.16,7160.16,7622.99,9059.67,8292.67,8731.17,7096.16,5126,3795.03,5257.94,4672.16,7481.26,3371.53,6664.99,5140.92,11175.67,8030.08,6007.09,5178.33
K01674,20,23,26,75,437,513,49,56,42,43,81,590,43,16,92,78,273,120,26,22,81,37,36,155
K01676,2144,2053.83,4336.33,11282.75,12613.75,7102,3383,2980.58,3168.83,4012.33,14416.83,13414.75,1307,1106.08,1742.5,3855.75,13830.25,2525.33,2265.83,5807.42,7199.67,3294.58,1798.25,11285.58
K01677,131,83,209,285,361,323,273,186,101,169,105,74,79,65,83,93,116,79,203,97,245,219,140,160
K01678,131,83,209,285,361,323,273,186,101,169,105,74,79,65,83,93,116,79,203,97,245,219,140,160
K01679,10962.9,9696.49,9337.49,9091.48,7607.25,4520.33,8976.83,8240.24,10493.33,8869.83,10624.83,5791.58,6008,4391.71,6032.07,5057.58,7061.48,2570.96,8642.99,6974.59,14667.84,10584.91,7707.42,4999.91
K01681,14361.7,12658.99,10381.99,9619.03,8780.5,5605.83,9724.83,9152.49,11308.83,9815.83,11372.83,7353.83,6617.5,4901.56,6627.87,5538.83,7764.03,3835.06,9693.99,7383.59,16051.34,11877.91,8539.42,5808.66
K01682,1773,1701.16,4254.16,10831.58,10254.75,5660.33,3299.33,2843.91,3045.5,3863,14332.5,13129.58,1123.5,1004.58,1501.17,3641.58,13472.08,1904.33,1970.16,5617.92,6722.67,2935.08,1572.92,10907.58
K01684,37.5,24.66,42.16,35,99,90,65,47.16,57.16,61.16,105.16,14,67,58.16,126,38.5,58.5,23.66,43.66,32.34,63.84,56.66,40.5,15.66
