function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K08364,164.5,141.5,155,326.25,136.75,51.5,276.5,290.25,247,343,570.5,1332.75,123.5,107.25,131,246.75,829.25,1054.5,100,209.75,489,304.75,136.75,456.25
K08365,556,482.5,885.5,991,693.5,427.5,974.5,910,855.5,1203.5,1302.5,174.5,586.5,510.5,559.5,606.5,763.5,241.5,1164,759.25,2071,1359.25,659.75,219
K08369,5,3,8,1,0,0,10,6,9,9,21,1,37,13,110,77,28,7,2,0,1,6,0,0
K08372,123,163,126,164,19,11,102,89,61,95,75,11,60,33,129,130,87,10,39,46,102,56,50,16
K08384,131,88,7,3,6,6,80,160,154,122,41,2,78,62,99,53,34,4,100,48,90,155,153,17
K08479,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K08480,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K08481,32.2,32,11,3.2,2,0,61,78,36,22,24,3,73,13.4,132.2,28,13.2,4.4,3,14,21,9,31,2
K08482,34.4,39,18,18.4,2,0,71,86,44,27,53,4,137,39.8,198.4,45,56.4,58.8,22,22,36,21,39,3
K08483,1114.5,922,1370.5,1607.5,3822.5,3112,2035,1785,1418,1897,1484.5,1224.5,969.5,767,1016.5,1094.5,1478.5,900,1674.5,876.5,2692.5,2088,1287,1054
K08484,2386.2,2204.33,2383.33,5106.7,3699,2069.5,1973.5,1963.33,2192.83,2621.83,3538.33,3362.5,1599,1234.73,1664.7,1784,3455.7,581.73,2715.33,2208.42,4092.17,2492.58,1650.25,3144.33
K08485,24,24.33,26.33,12,5,3,24,11.33,14.83,18.33,8.33,1.5,17,5.83,10,8.5,4,0.83,44.83,27.67,50.17,155.33,31.5,4.83
K08591,14084.7,12505.83,12209.83,15241.95,14506.75,8701.5,10798,9596.08,12469.33,10817.83,21513.83,14272.25,6832.5,5216.98,7191.2,7617.75,16756.45,2992.23,10097.33,10919.67,19002.17,12558.33,8672,12537.58
K08599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,7.5,1.75,6.75,3
K08602,5936.7,5262.5,2043.5,1343.2,943,623.5,2056,2410.5,2598,2979,2052,203.5,2115.5,1656.9,2177.2,1616,1148.2,322.4,3392.5,1578.5,4319.5,2909.5,2388.5,308.5
K08641,1579.7,1254.33,869.83,974.03,474.5,280.83,1321.33,1590.33,1258.17,1636.67,836.67,114.83,709,526.4,677.87,644.33,595.53,95.4,1063.33,710.5,1603,1332.5,1197.17,220.5
K08651,89,81,81.5,48,4,2,17.5,27,32.5,26,11,0,28,27,27,23.5,11.5,0,46,32,66.5,47.5,36,5
K08676,169,192.66,157.66,340,1084,877,178,309.66,247.66,373.66,203.66,201,96,96.66,88,179,338,304.66,233.66,186.34,371.34,289.66,195,274.66
K08678,341.4,357,954,2273.4,2284,1358,731,683,587,800,1266,408,420,239.8,448.4,545,973.4,380.8,634,810,1623,859,447,639
K08679,3595.7,3256.83,3521.83,4952.45,5555.25,3565,4575,3949.08,3891.33,4742.83,5005.33,5088.25,2419.5,1902.48,2404.7,2450.25,4692.95,2219.23,4484.83,2907.67,6654.17,4526.83,3046,4144.58
K08680,143,105,85,194,29,19,174,247,218,219,104,14,101,86,132,112,88,7,155,114,216,242,232,38
K08681,96,97,225,454,189,88,240,171,143,234,199,42,78,54,160,194,164,18,117,104,295,170,105,36
K08688,8967,8063.5,7432.5,3361.5,970,395.5,7182,6125,8953,6215,6914,496,5098,3732.5,4929,3316,2532,90,7077.5,4627.5,10534.5,8156,5957,601
K08691,4884.4,4308.5,1439.5,1016.9,1220,776.5,1248,1690,1989,2104,1198,207,1625,1224.3,1677.4,1263,858.4,255.8,2412.5,1070.5,2760.5,1901,1599,269
K08692,1259.7,1172.5,1146.5,498.2,64.5,20.5,2089.5,1769,1869,2052,1370.5,116.5,1158,866.9,1092.7,861,794.2,13.9,1936,745.5,2416,1762.5,1145.5,128.5
K08714,2362.5,2221.83,947.83,365.25,560.25,568,1127,1398.58,1664.33,1728.33,1128.33,1889.25,1267,992.08,1251,966.25,1163.75,1182.83,2082.33,842.42,2078.67,1688.58,1263.75,600.08
K08715,231.5,204,126,133.5,58,33,118,172.5,108,118,84,37.5,64.5,54,67,77,77,14,87,70,163,97.5,81.5,47.5
K08717,24.2,24,20,6.2,0,0,50,50,42,37,49,1,86,26.4,99.2,37,16.2,1.4,27,14,74,33,33,3
K08720,5721,5042.5,5128.5,1386.5,49,44.5,4332,3606,6107,3286,4312,242,3315,2349.5,3168,1950,1274,32,4356.5,3022.5,6451.5,5373,3804,291
K08722,122.5,121,153,289,58.5,23.5,210,252,203,284.5,278.5,83.5,111,88.5,121,215.5,439.5,7,91,191,402,271,102.5,88
K08723,0,0.33,0.33,0,0,0,5,3.33,2.83,2.33,3.33,1.5,0,1.83,0,2.5,0,0.83,15.83,15.67,21.17,123.33,12.5,3.83
K08738,19348.5,17216.83,10253.83,4691.75,2593.25,1996,10446.5,10986.08,14630.33,12305.83,9845.83,3261.75,9930,7463.08,10071,7065.75,5743.25,1891.83,14245.33,7564.17,17754.17,13731.33,10769.5,1598.08
K08744,8518.2,7636,7605,5892.2,4428,3056,7782,6164,8684,6165,8258,4343,4657,3364.4,4689.2,3573,4945.2,786.4,6502,5273,11437,8401,6171,3729
K08776,7,20,71,178,19,11,77,64,54,74,78,11,14,16,32,61,68,2,51,46,91,51,36,16
K08851,10,9,13,4,1,0,23,13,6,8,2,0,3,3,4,5,2,0,18,5,9,12,5,0
K08884,1702.5,1547.5,2108.5,2586,3857,2759.5,3420,3256,2459,3251.5,2756.5,681.5,1491.5,1221.5,1810,1924,2238,891,2451.5,1451.5,4126.5,2990.5,1751,1064.5
K08902,32,32,11,3,2,0,61,78,36,22,24,3,8,11,13,11,13,2,3,14,21,9,31,2
K08903,32,32,11,3,2,0,61,78,36,22,24,3,8,11,13,11,13,2,3,14,21,9,31,2
K08906,40,42,37,139,299,265,90,108,64,56,58,38,14,15,17,18,79,70,13,68,90,38,116,23
K08921,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K08926,631.2,586,93,27.2,11,5,206,351,471,381,196,30,369,241.4,495.2,297,176.2,7.4,180,132,266,221,252,10
K08927,631.2,586,93,27.2,11,5,206,351,471,381,196,30,369,241.4,495.2,297,176.2,7.4,180,132,266,221,252,10
K08928,638.2,593,93,28.2,11,5,220,373,477,392,196,30,371,243.4,496.2,300,176.2,7.4,185,134,271,226,262,10
K08929,638.2,593,93,28.2,11,5,220,373,477,392,196,30,371,243.4,496.2,300,176.2,7.4,185,134,271,226,262,10
