ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu33,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu25,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu167,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Zotu266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu256,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu259,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu62,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Zotu211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,10,0
Zotu210,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu103,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,1,4,0
Zotu236,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0
Zotu247,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu183,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu240,0,1,0,0,0,0,0,0,0,0,0,1,2,0,7,0,2,0
Zotu207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu232,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Zotu164,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Zotu76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Zotu254,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu253,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu238,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,0,7,0
Zotu129,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Zotu205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu206,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu267,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu208,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu217,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu214,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu213,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Zotu186,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0
Zotu104,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu234,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Zotu43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zotu255,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Zotu113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu157,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu222,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
