"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT50",118,150,62,1,0,0,35,33,15,26,26,1,25,20,24,10,18,1,7,8,25,15,22,1
"BACT19",243,215,77,14,0,0,65,72,94,104,72,1,66,46,42,42,23,2,92,65,131,88,80,5
"BACT84",0,1,5,33,86,38,2,1,2,6,30,38,1,0,0,8,17,26,0,21,19,3,3,66
"BACT208",4,1,2,1,0,0,24,20,15,22,8,0,2,1,0,0,2,0,22,2,22,11,8,1
"BACT204",3,2,20,44,22,11,10,10,2,7,10,1,6,3,5,8,11,6,7,8,13,9,7,5
"BACT4625",0,1,35,8,1,0,13,18,19,21,54,3,3,6,4,21,17,1,4,22,37,21,2,3
"BACT225",25,29,12,2,0,0,23,21,5,14,2,0,13,4,6,3,7,0,15,6,22,14,11,0
"BACT97",4,10,26,48,13,10,22,8,9,6,19,2,6,9,7,9,12,3,10,19,52,40,18,3
"BACT358",33,30,7,1,0,0,6,9,7,12,3,4,9,2,11,7,7,0,3,4,13,15,17,0
"BACT27",140,120,41,7,0,0,38,44,26,40,35,2,37,18,20,21,21,1,93,46,128,86,135,4
"BACT474",0,0,4,16,11,16,0,0,0,0,1,3,0,1,0,3,1,0,0,1,4,0,0,0
"BACT89",29,20,7,0,0,0,18,25,19,29,16,0,12,10,11,5,9,0,12,8,40,28,38,0
"BACT2030",9,3,4,0,0,0,5,7,12,2,1,0,2,2,3,0,1,0,10,3,4,12,11,0
"BACT116",31,26,21,9,1,0,34,30,15,37,26,1,13,13,13,18,3,0,51,26,59,45,28,0
"BACT761",41,31,32,4,0,0,12,8,22,12,13,0,15,9,19,5,5,0,8,10,17,21,17,0
"BACT21",1,2,12,54,378,441,8,11,9,13,40,511,1,0,10,38,216,111,1,4,4,7,2,132
"BACT45",159,144,25,13,0,0,7,35,31,28,8,1,23,6,16,13,13,0,40,8,45,34,41,3
"BACT64",10,17,20,22,2,1,42,43,51,54,22,1,16,8,15,10,7,0,34,29,79,43,37,4
"BACT455",6,2,12,16,0,0,6,4,1,1,7,0,3,5,7,6,11,0,6,3,7,6,3,1
"BACT161",27,14,12,9,0,0,32,27,19,15,8,1,5,7,9,9,7,2,31,17,55,33,34,4
"BACT4309",19,12,3,0,0,0,1,3,5,1,2,0,6,0,2,5,0,0,7,4,12,12,4,0
"BACT79",134,105,14,5,1,2,4,16,10,9,0,1,12,13,14,13,12,0,5,4,15,11,19,1
"BACT119",109,92,46,8,0,0,25,22,43,23,25,1,33,19,28,14,12,1,17,20,20,36,36,2
"BACT104",91,72,14,3,0,0,6,18,15,38,15,0,7,8,17,8,4,0,5,3,8,10,8,1
"BACT319",4,4,4,0,0,0,8,12,8,12,8,0,0,5,3,0,0,0,12,2,9,13,7,1
"BACT101",10,5,16,6,0,0,32,14,18,20,7,0,34,20,14,10,6,0,51,15,30,39,14,1
"BACT38",2,5,24,77,70,37,17,12,28,50,88,66,3,3,8,27,77,7,5,74,63,33,7,91
"BACT199",45,44,14,1,0,0,5,5,6,7,1,0,3,4,5,3,1,0,3,0,1,2,2,0
"BACT219",1,0,15,86,67,41,3,3,4,12,23,12,1,2,0,17,22,9,12,37,53,12,3,32
"BACT906",32,30,12,1,0,0,10,10,13,2,4,0,5,6,7,2,4,0,5,14,14,19,20,1
"BACT39",54,34,25,54,13,8,77,43,41,47,69,14,17,21,14,24,32,3,19,23,105,49,41,15
"BACT1529",0,0,11,15,14,11,5,6,4,2,13,9,0,1,7,7,18,0,1,9,13,2,1,9
"BACT55",90,82,38,4,0,0,40,51,50,44,21,0,34,29,28,18,12,0,35,16,60,26,26,3
"BACT3415",0,1,14,6,0,0,6,2,8,2,21,2,2,3,3,10,9,0,5,7,14,7,0,0
"BACT118",0,0,2,16,59,72,1,1,0,2,13,79,0,0,1,3,51,8,0,4,3,1,1,20
"BACT4344",0,2,17,4,0,0,5,5,12,12,52,4,0,0,3,10,24,0,0,21,12,5,1,5
"BACT72",23,11,12,5,3,1,47,40,31,43,40,3,29,21,17,21,9,1,47,14,64,35,26,1
"BACT396",22,9,20,5,0,0,4,8,9,8,12,0,6,10,6,5,1,0,4,10,8,5,13,1
"BACT1845",14,9,7,0,0,0,5,2,4,1,3,1,5,3,4,0,2,0,5,1,14,10,13,1
"BACT166",26,23,12,4,2,0,6,8,13,3,9,2,4,5,3,5,7,1,5,10,25,14,17,3
"BACT281",14,11,16,15,2,1,0,4,4,4,4,0,10,6,10,7,3,0,18,17,42,20,5,3
"BACT73",80,61,14,2,1,0,9,43,27,60,14,2,2,2,3,2,3,0,37,10,59,33,39,3
"BACT123",38,34,11,8,0,0,27,18,19,14,8,2,14,13,5,6,0,0,4,7,19,5,10,0
"BACT360",6,11,4,1,0,0,15,7,22,12,11,0,3,5,4,2,0,0,2,0,3,2,2,2
"BACT164",81,51,18,10,4,0,15,8,4,4,3,1,21,11,13,10,2,1,7,5,6,11,6,0
"BACT443",4,5,2,0,0,0,14,10,8,8,4,0,4,3,5,2,2,0,17,6,17,14,12,1
"BACT2857",6,7,12,0,0,0,12,10,12,5,3,0,5,2,7,2,2,0,6,1,12,11,8,0
"BACT153",2,1,1,0,0,0,6,19,36,38,12,0,9,19,10,5,2,0,13,0,14,14,12,0
"BACT185",11,10,9,7,1,1,18,22,6,19,4,2,11,4,6,7,1,0,27,3,13,18,32,3
"BACT190",14,13,7,2,0,0,8,14,9,15,12,2,5,4,1,5,4,0,20,8,8,9,7,1
"BACT1103",2,1,30,18,1,1,9,4,19,7,75,10,1,1,6,15,33,0,3,37,36,18,2,8
"BACT138",13,11,13,8,1,1,16,6,12,13,5,0,14,3,7,6,3,0,27,12,23,28,12,1
"BACT1569",0,0,5,10,3,0,3,4,8,6,26,12,0,1,3,3,42,0,0,8,11,4,1,3
"BACT28",2,10,77,282,237,138,30,13,21,45,64,12,3,7,10,46,55,25,39,47,98,40,6,19
"BACT102",5,4,38,75,70,47,36,15,12,32,74,6,9,8,16,22,17,10,28,36,90,43,25,8
"BACT2043",1,1,21,8,1,0,4,7,15,13,28,2,1,0,9,6,13,0,1,20,21,17,2,1
"BACT336",1,0,13,6,23,18,7,1,5,9,29,1,4,6,1,1,4,1,6,7,20,6,6,4
"BACT49",28,34,16,15,4,9,43,53,53,73,37,1,31,25,41,27,23,2,51,23,51,33,42,3
"BACT265",12,11,4,1,0,0,3,10,11,5,8,0,8,2,13,6,5,0,7,4,21,8,8,1
"BACT202",46,23,15,11,0,0,6,14,3,16,10,0,1,2,1,4,3,0,4,8,23,8,14,2
"BACT146",22,18,5,0,0,0,4,17,6,14,7,1,5,8,9,2,7,0,18,18,27,8,12,1
"BACT106",62,70,19,3,0,1,14,11,11,21,5,2,9,8,8,4,4,0,14,5,7,1,6,1
"BACT70",72,108,12,2,0,0,13,36,34,43,26,2,19,17,25,12,19,1,52,22,72,48,28,3
"BACT68",1,4,25,48,46,38,8,3,9,23,62,15,3,0,0,6,13,6,5,30,56,23,5,29
"BACT298",12,11,3,1,0,0,3,1,2,3,2,1,2,0,4,1,1,0,6,9,15,9,11,0
"BACT235",4,4,9,1,0,0,20,19,19,23,2,0,12,15,7,3,2,0,21,3,12,16,12,1
"BACT230",2,4,3,0,0,0,19,17,14,21,10,0,5,5,3,4,4,0,13,4,7,7,5,1
"BACT186",13,10,12,22,1,0,5,5,8,12,13,0,6,7,3,11,6,0,6,7,20,12,7,1
"BACT261",10,9,13,4,1,0,23,13,6,8,2,0,3,3,4,5,2,0,18,5,9,12,5,0
"BACT2257",0,0,16,13,1,0,3,1,7,5,33,1,0,2,1,13,13,0,2,21,16,2,1,5
"BACT133",22,21,6,0,0,0,8,14,19,19,12,0,4,4,3,8,1,0,10,13,23,24,13,2
"BACT179",6,3,8,19,6,2,13,5,13,7,7,1,6,6,3,5,6,0,19,12,28,19,7,3
"BACT127",5,6,11,9,0,0,35,18,11,13,6,0,3,2,6,2,3,1,21,13,45,32,16,0
"BACT87",0,0,3,5,132,78,1,0,0,0,1,29,0,0,0,2,16,51,0,0,1,0,0,29
"BACT224",10,8,2,1,0,0,11,7,3,9,4,0,10,18,10,10,2,1,4,2,5,16,11,1
