ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu93,3,5,12,1,11,5,27,17,21,35,43,3,5,11,9,4,7,4,37,27,77,48,22,6
Zotu74,30,27,73,32,0,2,24,63,59,75,43,3,20,16,25,15,6,0,74,18,45,50,16,4
Zotu1726,1,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Zotu8,791,748,806,197,9,0,1500,1074,1074,1176,819,28,536,398,473,345,225,5,962,311,1377,968,669,41
Zotu58,0,5,42,145,17,8,30,20,7,25,27,5,3,4,11,41,42,1,21,13,31,17,9,7
Zotu82,57,49,57,7,0,0,33,29,38,16,28,2,25,17,32,19,8,0,22,21,51,45,34,0
Zotu94,26,25,24,1,0,0,26,19,20,26,17,1,8,5,17,7,6,0,13,10,51,29,20,0
Zotu65,17,8,2,2,3,5,1,0,1,2,0,0,1,0,2,3,1,0,72,36,63,111,100,12
Zotu17,134,92,74,84,8,6,322,255,194,236,101,11,93,49,71,66,25,3,131,87,283,246,194,16
Zotu10,392,346,121,7,0,0,321,379,507,546,174,5,424,351,399,247,106,1,818,198,495,446,324,8
Zotu59,70,60,19,1,0,0,16,24,35,37,13,0,48,27,41,24,18,0,12,6,8,5,6,0
Zotu43,95,100,9,1,0,2,60,32,16,29,31,2,8,9,18,13,14,1,14,16,63,33,56,1
Zotu114,2,2,13,20,12,7,21,14,12,13,17,1,3,6,6,9,5,2,23,12,56,26,6,3
Zotu2315,1,0,4,0,0,0,0,1,2,2,9,0,0,0,0,2,3,0,0,4,1,0,0,0
Zotu18,14,13,80,233,307,193,66,91,111,168,106,51,28,21,17,108,229,63,82,98,148,107,77,101
Zotu2898,0,0,12,4,8,1,0,0,3,1,6,4,0,1,3,4,4,3,3,2,4,3,0,2
Zotu247,10,3,19,5,2,0,11,1,5,7,19,0,3,0,4,4,4,0,0,3,35,4,6,0
Zotu103,26,22,25,26,0,1,60,18,20,20,19,0,8,11,14,10,5,0,26,16,60,38,42,5
Zotu22,74,68,117,35,20,12,79,159,115,182,97,7,64,64,48,46,25,2,139,49,102,75,62,13
Zotu213,38,37,1,0,0,0,5,6,4,15,5,0,1,0,0,2,6,0,5,6,11,7,12,0
Zotu11,81,64,191,407,31,2,340,422,314,418,371,87,189,148,203,355,753,4,125,215,607,422,138,52
Zotu36,5,7,81,141,26,5,63,34,31,89,94,16,11,16,18,34,48,2,30,32,97,54,19,14
Zotu893,0,0,1,1,0,0,0,1,3,2,2,0,0,1,0,0,0,0,0,0,5,1,0,0
Zotu51,49,29,104,77,3,0,126,78,35,60,24,1,33,30,31,37,17,0,66,14,53,67,48,1
Zotu1504,0,0,13,30,18,4,0,0,1,2,30,8,0,0,1,5,17,0,0,16,11,1,0,14
Zotu1952,1,1,28,10,1,0,13,12,23,22,73,4,0,0,10,12,23,0,5,29,42,12,2,6
Zotu149,60,66,14,4,0,1,21,10,15,8,10,1,12,15,13,12,9,1,14,17,10,16,30,1
Zotu632,4,1,6,0,0,0,1,3,4,1,1,0,4,0,3,0,0,0,4,0,2,0,2,0
Zotu33,31,35,35,7,0,0,26,12,13,9,10,2,17,11,14,5,6,2,11,11,25,15,20,0
Zotu1993,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Zotu211,0,0,14,47,14,5,10,3,1,7,13,2,2,0,3,4,15,0,6,5,19,3,3,3
Zotu500,0,0,5,1,2,1,5,3,0,2,5,0,0,0,0,1,3,0,3,8,11,5,0,0
Zotu88,22,31,6,1,1,0,23,40,38,41,32,4,5,7,15,7,7,0,5,10,27,19,16,1
Zotu63,54,35,47,19,0,0,75,37,18,25,9,1,24,15,30,15,6,0,54,6,21,53,29,3
Zotu270,31,11,7,0,0,0,21,11,8,10,5,0,12,2,10,7,0,0,9,4,27,7,9,0
Zotu20,3,3,12,6,2,0,15,13,14,16,11,0,3,4,7,4,6,0,9,8,18,15,8,2
Zotu1036,1,0,2,3,0,0,1,0,0,0,2,1,5,0,0,0,2,0,1,0,0,1,0,0
Zotu1564,0,0,5,52,32,9,0,0,2,2,34,88,0,0,2,8,58,1,0,24,14,1,1,89
Zotu3422,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,5,2,1,0
Zotu67,112,113,31,8,2,1,21,40,32,56,38,4,34,31,41,20,25,0,27,20,72,30,36,2
Zotu1345,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu1943,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu12,543,514,71,18,4,1,155,301,419,324,172,28,223,193,316,241,149,3,124,97,217,173,190,9
Zotu1679,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu1765,0,0,13,33,31,9,0,1,0,1,32,8,0,0,2,5,23,0,1,20,10,2,0,7
Zotu26,46,32,211,101,1,0,149,101,74,98,23,0,44,27,31,24,11,0,66,12,79,154,70,2
Zotu286,2,0,6,18,0,0,0,4,5,4,22,0,0,1,0,10,5,0,1,10,12,3,0,0
Zotu2723,0,6,8,2,0,0,13,12,16,8,12,0,6,1,5,4,1,0,5,5,9,10,2,0
Zotu24,197,139,49,6,3,0,128,135,104,122,36,2,53,39,51,40,27,0,49,54,93,68,117,6
Zotu430,18,17,12,0,0,0,1,3,3,2,3,2,5,1,1,1,7,0,1,2,6,1,0,0
Zotu416,13,15,14,2,1,0,2,2,4,2,3,0,4,7,1,2,0,0,3,4,7,2,2,0
Zotu34,401,316,51,13,2,6,1,2,2,5,1,1,20,22,22,25,11,5,2,3,6,6,17,0
Zotu25,23,17,175,107,2,1,89,73,74,62,66,4,75,61,75,49,24,0,151,56,158,132,52,7
Zotu287,14,10,12,7,0,0,4,9,4,7,4,0,7,3,3,4,1,0,10,0,8,12,7,1
Zotu661,0,0,17,92,58,23,0,0,2,2,90,147,0,0,1,5,87,1,0,23,11,0,0,169
Zotu111,5,3,22,23,24,7,16,6,9,24,44,1,8,5,8,11,7,3,8,14,48,26,6,6
Zotu109,3,0,21,13,3,0,39,15,12,24,16,0,9,4,11,10,9,0,38,15,73,45,17,2
Zotu134,1,1,11,2,0,0,15,18,11,54,3,2,5,5,6,2,2,0,25,6,36,29,16,2
Zotu139,0,4,22,23,4,3,17,13,10,10,3,0,2,5,3,17,7,0,29,4,15,35,12,5
Zotu53,39,22,53,34,0,0,64,54,42,100,47,0,25,34,39,31,18,1,61,34,70,63,37,4
Zotu112,7,12,18,1,0,0,21,23,23,20,22,1,13,14,13,3,11,0,32,16,60,34,23,2
Zotu1516,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
Zotu4624,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu823,1,0,1,0,0,0,1,0,2,2,0,0,0,1,0,1,0,0,5,4,11,4,3,0
Zotu4203,0,0,9,5,0,0,2,1,1,0,9,1,0,1,0,0,5,0,0,14,10,1,0,2
Zotu52,63,45,17,3,0,0,40,33,29,41,47,1,26,12,22,15,8,2,39,14,65,32,26,1
Zotu1253,0,0,4,37,31,11,0,0,1,1,37,52,0,0,0,5,26,1,0,9,3,0,0,58
Zotu60,3,2,28,67,4,3,23,28,20,28,64,11,3,4,5,23,28,2,18,56,65,33,14,27
Zotu2801,0,0,8,2,0,0,2,0,3,1,6,1,0,0,0,1,3,0,0,5,2,2,0,2
Zotu44,34,34,24,9,3,0,90,70,71,88,19,6,34,25,29,17,7,0,48,8,33,51,33,7
Zotu2047,0,0,10,70,40,9,2,1,1,2,46,77,0,0,0,2,36,1,0,10,11,1,0,85
Zotu40,12,10,53,134,84,52,30,27,14,45,43,12,9,12,17,22,33,15,41,44,112,48,12,8
Zotu3229,0,0,5,13,3,0,0,0,2,2,15,3,0,0,0,4,17,0,0,10,3,1,0,3
Zotu1141,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
Zotu189,1,3,14,27,7,6,11,8,2,12,6,1,3,7,0,8,1,0,10,10,30,19,9,0
Zotu397,12,21,11,3,0,0,9,3,9,6,8,0,17,12,7,5,6,1,4,12,5,13,13,0
Zotu14,81,59,55,14,0,0,32,36,47,14,23,2,38,26,23,5,15,0,29,25,36,32,38,2
Zotu4421,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1114,4,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0
Zotu1010,0,0,7,2,0,0,0,3,5,4,1,0,1,0,1,0,0,0,0,5,7,2,5,0
Zotu1131,0,0,2,23,29,6,0,0,1,1,29,42,0,0,0,4,31,0,0,13,3,0,0,42
Zotu30,2,7,40,148,213,121,18,17,15,45,152,79,3,5,4,29,69,23,8,78,123,35,6,112
Zotu76,5,8,22,18,2,3,37,36,39,44,22,5,8,8,13,9,9,1,11,25,45,22,19,8
Zotu128,53,54,12,16,4,0,12,13,14,27,17,1,8,8,9,14,14,1,6,19,27,21,13,3
Zotu29,3,5,73,336,173,68,29,9,13,35,78,35,5,9,9,58,153,35,20,34,57,26,12,41
Zotu341,15,8,6,5,0,1,7,7,7,0,2,0,0,2,3,1,2,0,0,6,7,13,8,0
Zotu155,53,30,34,5,0,0,9,16,41,11,23,0,11,6,14,16,9,0,5,13,30,25,15,2
Zotu636,120,109,18,1,0,0,7,18,18,13,14,2,23,13,20,12,7,1,16,6,30,30,19,2
Zotu129,4,5,14,36,7,2,10,16,5,17,8,0,6,4,6,12,7,1,13,9,37,19,9,6
Zotu301,2,4,15,19,0,0,1,6,3,1,9,0,19,9,16,11,12,1,5,1,4,1,6,0
Zotu887,0,0,4,7,0,0,1,1,2,0,0,0,2,0,0,0,0,0,1,1,5,4,0,0
Zotu244,17,20,1,0,0,0,19,14,8,14,9,4,3,4,3,4,5,0,6,3,12,3,5,1
Zotu117,0,1,7,3,0,0,1,5,4,3,3,0,0,2,0,0,0,0,2,0,1,2,0,0
Zotu533,0,0,7,11,6,1,2,2,3,3,3,0,0,3,1,3,3,0,0,5,8,2,0,0
Zotu399,12,15,3,0,0,0,0,2,1,2,4,0,2,2,1,3,2,0,1,3,5,3,1,0
Zotu3080,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Zotu131,16,8,13,9,0,0,42,18,8,16,8,0,2,2,6,6,0,0,12,4,30,20,21,1
Zotu140,10,9,20,6,0,5,40,40,21,42,54,0,13,15,16,9,8,1,28,29,88,44,16,9
Zotu2020,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu1977,0,3,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,2,3,6,0
Zotu318,4,0,3,1,0,0,12,16,12,24,6,0,3,6,2,1,1,0,2,1,2,2,4,0
Zotu1076,4,2,3,1,0,0,7,4,3,3,6,1,2,2,3,3,2,0,3,1,7,2,2,0
Zotu815,6,1,3,0,0,0,1,2,2,3,2,0,1,2,0,0,0,0,2,2,6,3,3,1
Zotu50,118,150,62,1,0,0,35,33,15,26,26,1,25,20,24,10,18,1,7,8,25,15,22,1
Zotu1475,6,4,4,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,3,1,8,2,4,0
Zotu369,1,4,1,1,0,0,0,3,3,1,0,0,1,0,0,0,1,1,1,1,0,0,2,1
Zotu19,243,215,77,14,0,0,65,72,94,104,72,1,66,46,42,42,23,2,92,65,131,88,80,5
Zotu84,0,1,5,33,86,38,2,1,2,6,30,38,1,0,0,8,17,26,0,21,19,3,3,66
Zotu208,4,1,2,1,0,0,24,20,15,22,8,0,2,1,0,0,2,0,22,2,22,11,8,1
Zotu204,3,2,20,44,22,11,10,10,2,7,10,1,6,3,5,8,11,6,7,8,13,9,7,5
Zotu376,3,2,23,5,0,0,1,1,5,0,3,0,4,0,0,1,1,0,3,1,6,9,2,0
Zotu4625,0,1,35,8,1,0,13,18,19,21,54,3,3,6,4,21,17,1,4,22,37,21,2,3
Zotu581,0,0,4,0,1,0,2,3,2,5,2,1,1,0,2,3,1,0,5,0,7,3,2,1
Zotu1955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu225,25,29,12,2,0,0,23,21,5,14,2,0,13,4,6,3,7,0,15,6,22,14,11,0
Zotu655,8,9,2,0,0,0,5,2,0,2,0,0,1,0,3,0,1,0,0,0,0,1,0,0
Zotu97,4,10,26,48,13,10,22,8,9,6,19,2,6,9,7,9,12,3,10,19,52,40,18,3
Zotu358,33,30,7,1,0,0,6,9,7,12,3,4,9,2,11,7,7,0,3,4,13,15,17,0
Zotu27,140,120,41,7,0,0,38,44,26,40,35,2,37,18,20,21,21,1,93,46,128,86,135,4
Zotu474,0,0,4,16,11,16,0,0,0,0,1,3,0,1,0,3,1,0,0,1,4,0,0,0
Zotu841,2,1,7,1,6,2,2,2,0,1,0,0,0,0,1,0,3,0,2,0,6,5,3,2
Zotu421,5,4,3,0,0,0,7,4,4,5,0,0,2,2,6,3,4,0,3,0,4,2,11,0
Zotu3828,2,4,6,0,0,0,2,0,0,1,1,0,0,1,2,2,0,0,1,2,7,6,7,0
Zotu1290,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu1097,8,5,5,0,0,0,3,1,2,4,2,0,2,0,1,2,1,0,1,3,1,0,2,0
Zotu89,29,20,7,0,0,0,18,25,19,29,16,0,12,10,11,5,9,0,12,8,40,28,38,0
Zotu2030,9,3,4,0,0,0,5,7,12,2,1,0,2,2,3,0,1,0,10,3,4,12,11,0
Zotu116,31,26,21,9,1,0,34,30,15,37,26,1,13,13,13,18,3,0,51,26,59,45,28,0
Zotu2737,0,0,3,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0
Zotu761,41,31,32,4,0,0,12,8,22,12,13,0,15,9,19,5,5,0,8,10,17,21,17,0
Zotu21,1,2,12,54,378,441,8,11,9,13,40,511,1,0,10,38,216,111,1,4,4,7,2,132
Zotu45,159,144,25,13,0,0,7,35,31,28,8,1,23,6,16,13,13,0,40,8,45,34,41,3
Zotu64,10,17,20,22,2,1,42,43,51,54,22,1,16,8,15,10,7,0,34,29,79,43,37,4
Zotu277,5,9,9,3,0,0,7,3,7,11,3,0,4,0,4,0,0,0,8,1,13,5,9,1
Zotu455,6,2,12,16,0,0,6,4,1,1,7,0,3,5,7,6,11,0,6,3,7,6,3,1
Zotu161,27,14,12,9,0,0,32,27,19,15,8,1,5,7,9,9,7,2,31,17,55,33,34,4
Zotu4309,19,12,3,0,0,0,1,3,5,1,2,0,6,0,2,5,0,0,7,4,12,12,4,0
Zotu79,134,105,14,5,1,2,4,16,10,9,0,1,12,13,14,13,12,0,5,4,15,11,19,1
Zotu2637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3669,0,0,4,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,2,3,1,1,0,1
Zotu964,2,2,2,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,7,0,3,1,1,0
Zotu667,5,2,5,2,0,0,4,4,3,3,2,1,6,2,5,5,5,0,1,1,1,1,3,0
Zotu119,109,92,46,8,0,0,25,22,43,23,25,1,33,19,28,14,12,1,17,20,20,36,36,2
Zotu104,91,72,14,3,0,0,6,18,15,38,15,0,7,8,17,8,4,0,5,3,8,10,8,1
Zotu3920,0,0,4,4,0,0,0,3,1,2,5,2,0,1,0,0,5,0,1,4,6,2,1,0
Zotu707,0,0,3,3,0,0,2,1,2,0,1,0,1,0,0,2,1,0,4,1,2,1,2,1
Zotu319,4,4,4,0,0,0,8,12,8,12,8,0,0,5,3,0,0,0,12,2,9,13,7,1
Zotu263,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Zotu363,42,30,5,3,1,0,1,3,0,0,0,0,2,0,0,0,1,0,0,2,2,0,1,0
Zotu1214,1,0,1,0,0,0,1,1,1,3,3,0,1,0,0,0,0,0,0,0,1,0,1,1
Zotu101,10,5,16,6,0,0,32,14,18,20,7,0,34,20,14,10,6,0,51,15,30,39,14,1
Zotu38,2,5,24,77,70,37,17,12,28,50,88,66,3,3,8,27,77,7,5,74,63,33,7,91
Zotu199,45,44,14,1,0,0,5,5,6,7,1,0,3,4,5,3,1,0,3,0,1,2,2,0
Zotu219,1,0,15,86,67,41,3,3,4,12,23,12,1,2,0,17,22,9,12,37,53,12,3,32
Zotu906,32,30,12,1,0,0,10,10,13,2,4,0,5,6,7,2,4,0,5,14,14,19,20,1
Zotu39,54,34,25,54,13,8,77,43,41,47,69,14,17,21,14,24,32,3,19,23,105,49,41,15
Zotu1529,0,0,11,15,14,11,5,6,4,2,13,9,0,1,7,7,18,0,1,9,13,2,1,9
Zotu55,90,82,38,4,0,0,40,51,50,44,21,0,34,29,28,18,12,0,35,16,60,26,26,3
Zotu3415,0,1,14,6,0,0,6,2,8,2,21,2,2,3,3,10,9,0,5,7,14,7,0,0
Zotu417,10,10,11,1,0,0,1,1,3,3,1,0,0,1,1,0,0,0,3,3,5,2,2,0
Zotu118,0,0,2,16,59,72,1,1,0,2,13,79,0,0,1,3,51,8,0,4,3,1,1,20
Zotu4344,0,2,17,4,0,0,5,5,12,12,52,4,0,0,3,10,24,0,0,21,12,5,1,5
Zotu72,23,11,12,5,3,1,47,40,31,43,40,3,29,21,17,21,9,1,47,14,64,35,26,1
Zotu396,22,9,20,5,0,0,4,8,9,8,12,0,6,10,6,5,1,0,4,10,8,5,13,1
Zotu1845,14,9,7,0,0,0,5,2,4,1,3,1,5,3,4,0,2,0,5,1,14,10,13,1
Zotu440,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,5,1,3,0,0,0
Zotu407,1,1,4,0,0,0,5,6,5,7,4,0,4,4,7,2,2,0,6,1,2,5,2,0
Zotu166,26,23,12,4,2,0,6,8,13,3,9,2,4,5,3,5,7,1,5,10,25,14,17,3
Zotu245,0,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1
Zotu2957,0,0,5,1,0,0,1,0,3,2,6,1,0,0,0,1,6,0,0,1,3,2,0,1
Zotu973,8,6,1,0,0,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0
Zotu535,11,4,5,6,3,3,8,7,6,5,0,0,3,2,4,3,4,0,6,4,2,11,6,1
Zotu437,10,7,15,2,0,0,5,1,9,4,6,0,6,3,6,0,3,0,1,3,5,4,3,0
Zotu2780,2,2,3,0,0,0,2,2,2,1,0,0,0,1,0,0,0,0,4,0,3,4,1,0
Zotu281,14,11,16,15,2,1,0,4,4,4,4,0,10,6,10,7,3,0,18,17,42,20,5,3
Zotu4115,0,0,6,2,0,0,1,0,0,2,4,0,1,0,2,1,0,0,1,4,7,2,0,1
Zotu1221,6,4,5,0,0,0,2,4,2,3,1,0,1,2,0,1,0,0,0,1,2,3,1,0
Zotu1160,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0
Zotu73,80,61,14,2,1,0,9,43,27,60,14,2,2,2,3,2,3,0,37,10,59,33,39,3
Zotu123,38,34,11,8,0,0,27,18,19,14,8,2,14,13,5,6,0,0,4,7,19,5,10,0
Zotu1582,2,4,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu360,6,11,4,1,0,0,15,7,22,12,11,0,3,5,4,2,0,0,2,0,3,2,2,2
Zotu164,81,51,18,10,4,0,15,8,4,4,3,1,21,11,13,10,2,1,7,5,6,11,6,0
Zotu443,4,5,2,0,0,0,14,10,8,8,4,0,4,3,5,2,2,0,17,6,17,14,12,1
Zotu638,1,5,1,1,1,0,4,2,2,1,2,0,1,1,2,1,0,2,2,2,7,3,0,0
Zotu874,0,0,8,7,7,6,3,1,2,2,23,0,0,3,3,5,9,0,0,9,11,5,0,0
Zotu4000,17,14,5,0,0,0,4,3,8,1,4,0,0,0,1,1,1,0,3,4,4,1,5,0
Zotu2857,6,7,12,0,0,0,12,10,12,5,3,0,5,2,7,2,2,0,6,1,12,11,8,0
Zotu153,2,1,1,0,0,0,6,19,36,38,12,0,9,19,10,5,2,0,13,0,14,14,12,0
Zotu1086,0,0,3,12,2,2,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0
Zotu185,11,10,9,7,1,1,18,22,6,19,4,2,11,4,6,7,1,0,27,3,13,18,32,3
Zotu1353,4,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Zotu190,14,13,7,2,0,0,8,14,9,15,12,2,5,4,1,5,4,0,20,8,8,9,7,1
Zotu727,1,0,2,0,0,0,0,0,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Zotu1103,2,1,30,18,1,1,9,4,19,7,75,10,1,1,6,15,33,0,3,37,36,18,2,8
Zotu616,0,1,3,4,0,0,3,0,2,4,3,1,0,0,0,1,2,0,0,1,4,1,2,0
Zotu138,13,11,13,8,1,1,16,6,12,13,5,0,14,3,7,6,3,0,27,12,23,28,12,1
Zotu1569,0,0,5,10,3,0,3,4,8,6,26,12,0,1,3,3,42,0,0,8,11,4,1,3
Zotu653,18,22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Zotu539,28,24,4,0,0,1,0,5,0,1,1,0,2,1,1,1,1,0,2,3,4,7,8,0
Zotu3018,0,0,6,2,0,0,4,1,0,2,6,0,0,0,0,0,0,0,0,1,2,5,0,1
Zotu499,3,0,2,1,0,0,6,3,0,1,1,0,0,1,2,1,0,0,10,4,7,12,1,2
Zotu28,2,10,77,282,237,138,30,13,21,45,64,12,3,7,10,46,55,25,39,47,98,40,6,19
Zotu1526,0,0,2,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0
Zotu543,0,3,4,4,0,0,5,2,2,2,1,1,2,1,0,1,0,0,2,3,7,2,3,1
Zotu4379,7,6,7,0,0,0,3,4,10,4,1,0,4,1,3,3,1,0,9,4,4,9,5,0
Zotu659,12,15,10,7,2,0,1,1,0,0,0,0,2,0,1,1,0,0,5,1,3,2,1,0
Zotu330,4,1,7,2,1,0,8,6,8,2,6,0,2,5,3,4,0,0,4,5,17,9,10,0
Zotu102,5,4,38,75,70,47,36,15,12,32,74,6,9,8,16,22,17,10,28,36,90,43,25,8
Zotu629,0,2,2,6,5,2,4,3,0,0,6,0,1,1,2,0,1,0,2,2,7,1,0,0
Zotu4547,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4387,0,0,2,2,1,1,0,0,0,0,9,0,0,0,0,0,1,1,0,1,0,1,1,2
Zotu666,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
Zotu2043,1,1,21,8,1,0,4,7,15,13,28,2,1,0,9,6,13,0,1,20,21,17,2,1
Zotu336,1,0,13,6,23,18,7,1,5,9,29,1,4,6,1,1,4,1,6,7,20,6,6,4
Zotu382,6,3,2,0,0,0,20,11,4,3,5,1,1,2,1,1,6,0,2,1,4,2,4,0
Zotu3345,11,23,4,0,0,0,1,2,5,1,5,0,0,0,4,0,1,0,2,3,3,4,2,0
Zotu642,3,2,1,0,0,0,0,3,5,5,1,0,1,1,0,3,0,1,3,1,0,1,1,0
Zotu49,28,34,16,15,4,9,43,53,53,73,37,1,31,25,41,27,23,2,51,23,51,33,42,3
